Metric,Mean,CI_Lower,CI_Upper
Accuracy,0.9695,0.9414,0.9977
Roc Auc,0.9929,0.9789,1.0000
Sensitivity,0.9857,0.9577,1.0000
Specificity,0.9500,0.9100,0.9900
Precision,0.9599,0.9277,0.9921
Recall,0.9857,0.9577,1.0000
F1 Score,0.9724,0.9464,0.9983
