Fold,Accuracy,Roc Auc,Sensitivity,Specificity,Precision,Recall,F1 Score
1,0.9231,0.9643,0.9286,0.9167,0.9286,0.9286,0.9286
2,0.9615,1.0000,1.0000,0.9167,0.9333,1.0000,0.9655
3,0.9630,1.0000,1.0000,0.9167,0.9375,1.0000,0.9677
4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean,0.9695,0.9929,0.9857,0.9500,0.9599,0.9857,0.9724
Std,0.0321,0.0160,0.0319,0.0456,0.0368,0.0319,0.0296
