Fold,Accuracy,Roc Auc,Sensitivity,Specificity,Precision,Recall,F1 Score
1,0.8462,0.9524,0.8571,0.8333,0.8571,0.8571,0.8571
2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
4,0.9231,1.0000,0.8571,1.0000,1.0000,0.8571,0.9231
5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean,0.9538,0.9905,0.9429,0.9667,0.9714,0.9429,0.9560
Std,0.0688,0.0213,0.0782,0.0745,0.0639,0.0782,0.0645
