Dataset,Total Subjects,Correct (TP+TN),Acc (%),Sens (%),Spec (%),Prec (%),F1-Score (%)
Dataset 1,65,55,84.62,83.33,86.21,88.24,85.71
Dataset 2,67,65,97.01,94.29,100.0,100.0,97.06
Combined (Pooled),132,120,90.91,88.73,93.44,94.03,91.3
