Metric,Mean,CI_Lower,CI_Upper
Accuracy,0.9236,0.8818,0.9654
Roc Auc,0.9834,0.9535,1.0000
Sensitivity,0.9143,0.8327,0.9959
Specificity,0.9333,0.8722,0.9944
Precision,0.9458,0.8982,0.9935
Recall,0.9143,0.8327,0.9959
F1 Score,0.9267,0.8838,0.9695
