Fold,Accuracy,Roc Auc,Sensitivity,Specificity,Precision,Recall,F1 Score
1,0.8462,0.9226,0.7857,0.9167,0.9167,0.7857,0.8462
2,0.9231,1.0000,1.0000,0.8333,0.8750,1.0000,0.9333
3,0.9630,0.9944,1.0000,0.9167,0.9375,1.0000,0.9677
4,0.9231,1.0000,0.8571,1.0000,1.0000,0.8571,0.9231
5,0.9630,1.0000,0.9286,1.0000,1.0000,0.9286,0.9630
Mean,0.9236,0.9834,0.9143,0.9333,0.9458,0.9143,0.9267
Std,0.0477,0.0341,0.0931,0.0697,0.0543,0.0931,0.0488
