Fold,Accuracy,Roc Auc,Sensitivity,Specificity,Precision,Recall,F1 Score
1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
4,0.9286,1.0000,0.8333,1.0000,1.0000,0.8333,0.9091
5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean,0.9857,1.0000,0.9667,1.0000,1.0000,0.9667,0.9818
Std,0.0319,0.0000,0.0745,0.0000,0.0000,0.0745,0.0407
