Fold,Accuracy,Roc Auc,Sensitivity,Specificity,Precision,Recall,F1 Score
1,0.8077,0.9107,0.7857,0.8333,0.8462,0.7857,0.8148
2,0.9231,0.9643,0.8571,1.0000,1.0000,0.8571,0.9231
3,0.9630,0.9722,0.9333,1.0000,1.0000,0.9333,0.9655
4,0.8846,0.9881,0.7857,1.0000,1.0000,0.7857,0.8800
5,0.8889,0.9835,0.7857,1.0000,1.0000,0.7857,0.8800
Mean,0.8934,0.9638,0.8295,0.9667,0.9692,0.8295,0.8927
Std,0.0574,0.0311,0.0658,0.0745,0.0688,0.0658,0.0562
