Region,Mean_Accuracy_Drop,Std_Accuracy_Drop,p_value
Frontal,0.33418803418803417,0.06882332355281164,0.03125
Parietal,0.09857549857549856,0.07075285054799359,0.0625
Temporal,0.06068376068376069,0.018760202430945096,0.03125
Occipital,0.05270655270655271,0.02993487301780901,0.0625
Central,0.015384615384615396,0.018842228790639848,0.25
