Dataset,Total Subjects,Correct (TP+TN),Acc (%),Sens (%),Spec (%),Prec (%),F1-Score (%)
Dataset 1,65,55,84.62,77.78,93.1,93.33,84.85
Dataset 2,67,66,98.51,97.14,100.0,100.0,98.55
Combined (Pooled),132,121,91.67,87.32,96.72,96.88,91.85
