Fold,Accuracy,Roc Auc,Sensitivity,Specificity,Precision,Recall,F1 Score
1,0.8077,0.9048,0.7857,0.8333,0.8462,0.7857,0.8148
2,0.9231,0.9643,0.8571,1.0000,1.0000,0.8571,0.9231
3,0.9630,0.9722,0.9333,1.0000,1.0000,0.9333,0.9655
4,0.9615,0.9940,0.9286,1.0000,1.0000,0.9286,0.9630
5,0.9259,0.9780,0.8571,1.0000,1.0000,0.8571,0.9231
Mean,0.9162,0.9627,0.8724,0.9667,0.9692,0.8724,0.9179
Std,0.0636,0.0342,0.0609,0.0745,0.0688,0.0609,0.0612
