Metric,Mean,CI_Lower,CI_Upper
Accuracy,0.9162,0.8605,0.9719
Roc Auc,0.9627,0.9327,0.9926
Sensitivity,0.8724,0.8190,0.9258
Specificity,0.9667,0.9013,1.0000
Precision,0.9692,0.9089,1.0000
Recall,0.8724,0.8190,0.9258
F1 Score,0.9179,0.8643,0.9715
