Metric,Mean,CI_Lower,CI_Upper
Accuracy,0.9538,0.8935,1.0000
Roc Auc,0.9905,0.9718,1.0000
Sensitivity,0.9429,0.8743,1.0000
Specificity,0.9667,0.9013,1.0000
Precision,0.9714,0.9154,1.0000
Recall,0.9429,0.8743,1.0000
F1 Score,0.9560,0.8995,1.0000
